Country,City/Town,Year,PM2.5,PM10,CO₂ emissions per capita,Renewables,pm25_normalized,pm10_normalized,co2_normalized,ren_normalized,risk_score,risk_category
China,Anqing,2016,54,71,6.9428844,11.113145,0.36,0.284,0.69428844,0.565012848682329,45.266025773646575,Moderate Risk
China,Chongqing,2016,54,77,6.9428844,11.113145,0.36,0.308,0.69428844,0.565012848682329,45.74602577364658,Moderate Risk
China,Jining,2014,54,81,7.187588,9.689675,0.36,0.324,0.7187588,0.6207436425135608,47.670048850271215,Moderate Risk
China,Lanzhou,2016,54,132,6.9428844,11.113145,0.36,0.528,0.69428844,0.565012848682329,50.146025773646585,High Risk
China,Neijiang,2016,54,76,6.9428844,11.113145,0.36,0.304,0.69428844,0.565012848682329,45.66602577364658,Moderate Risk
China,Shaoyang,2016,54,77,6.9428844,11.113145,0.36,0.308,0.69428844,0.565012848682329,45.74602577364658,Moderate Risk
China,Shenyang,2016,54,94,6.9428844,11.113145,0.36,0.376,0.69428844,0.565012848682329,47.106025773646586,Moderate Risk
China,Taicang,2014,54,82,7.187588,9.689675,0.36,0.328,0.7187588,0.6207436425135608,47.75004885027122,Moderate Risk
China,Yixing,2014,54,81,7.187588,9.689675,0.36,0.324,0.7187588,0.6207436425135608,47.670048850271215,Moderate Risk
China,Zhaoyuan,2014,54,82,7.187588,9.689675,0.36,0.328,0.7187588,0.6207436425135608,47.75004885027122,Moderate Risk
China,Zibo,2014,54,82,7.187588,9.689675,0.36,0.328,0.7187588,0.6207436425135608,47.75004885027122,Moderate Risk
China,Changsha,2016,53,73,6.9428844,11.113145,0.35333333333333333,0.292,0.69428844,0.565012848682329,45.15935910697992,Moderate Risk
China,Huai'an,2016,53,92,6.9428844,11.113145,0.35333333333333333,0.368,0.69428844,0.565012848682329,46.679359106979916,Moderate Risk
China,Wuhu,2016,53,75,6.9428844,11.113145,0.35333333333333333,0.3,0.69428844,0.565012848682329,45.31935910697992,Moderate Risk
China,Wuxi,2016,53,82,6.9428844,11.113145,0.35333333333333333,0.328,0.69428844,0.565012848682329,45.87935910697992,Moderate Risk
China,Harbin,2016,52,74,6.9428844,11.113145,0.3466666666666667,0.296,0.69428844,0.565012848682329,44.97269244031325,Moderate Risk
China,Hengyang,2016,52,76,6.9428844,11.113145,0.3466666666666667,0.304,0.69428844,0.565012848682329,45.13269244031325,Moderate Risk
China,Jiaonan,2014,52,79,7.187588,9.689675,0.3466666666666667,0.316,0.7187588,0.6207436425135608,46.97671551693789,Moderate Risk
China,Jiaozhou,2014,52,79,7.187588,9.689675,0.3466666666666667,0.316,0.7187588,0.6207436425135608,46.97671551693789,Moderate Risk
China,Liyang,2014,52,78,7.187588,9.689675,0.3466666666666667,0.312,0.7187588,0.6207436425135608,46.896715516937896,Moderate Risk
China,Haimen,2014,51,77,7.187588,9.689675,0.34,0.308,0.7187588,0.6207436425135608,46.55004885027122,Moderate Risk
